id,category,direction,baseline,result,improvement,cohort,source_url,construction
pack_csc_n133,semicircle,max,0.05593928720225864,0.0559396982878911,4.1108563246516905e-07,announcement,https://packomania.com/csc/txt/csc133.txt,records/semicircle/pack_csc_n133/construction.json
pack_csc_n134,semicircle,max,0.05573068447427923,0.055731111069060084,4.26594780854328e-07,announcement,https://packomania.com/csc/txt/csc134.txt,records/semicircle/pack_csc_n134/construction.json
pack_csc_n159,semicircle,max,0.05133533823560289,0.0513359147227591,5.764871562063956e-07,announcement,https://packomania.com/csc/txt/csc159.txt,records/semicircle/pack_csc_n159/construction.json
pack_csc_n169,semicircle,max,0.04993858098206804,0.049951557087860796,1.2976105792754378e-05,announcement,https://packomania.com/csc/txt/csc169.txt,records/semicircle/pack_csc_n169/construction.json
pack_csc_n202,semicircle,max,0.04570600451549975,0.04570698839719196,9.83881692208366e-07,announcement,https://packomania.com/csc/txt/csc202.txt,records/semicircle/pack_csc_n202/construction.json
pack_csc_n205,semicircle,max,0.04540555818182013,0.045406919892032986,1.3617102128590797e-06,announcement,https://packomania.com/csc/txt/csc205.txt,records/semicircle/pack_csc_n205/construction.json
pack_csc_n244,semicircle,max,0.0416293123967285,0.0416297608707786,4.484740500979023e-07,announcement,https://packomania.com/csc/txt/csc244.txt,records/semicircle/pack_csc_n244/construction.json
pack_csc_n74,semicircle,max,0.07381415188709026,0.07382451806779226,1.0366180702006678e-05,announcement,https://packomania.com/csc/txt/csc74.txt,records/semicircle/pack_csc_n74/construction.json
pack_hsp4_n103,four-dimensional-balls,max,0.241051212866,0.2410515690885555,3.5622255548095616e-07,announcement,https://packomania.com/hsp4/txt/hsp4-103.txt,records/four-dimensional-balls/pack_hsp4_n103/construction.json
pack_hsp4_n111,four-dimensional-balls,max,0.237355353009,0.23735706272547108,1.7097164710933033e-06,announcement,https://packomania.com/hsp4/txt/hsp4-111.txt,records/four-dimensional-balls/pack_hsp4_n111/construction.json
pack_hsp4_n117,four-dimensional-balls,max,0.236108284019,0.2361116256638741,3.3416448740886118e-06,announcement,https://packomania.com/hsp4/txt/hsp4-117.txt,records/four-dimensional-balls/pack_hsp4_n117/construction.json
pack_hsp4_n118,four-dimensional-balls,max,0.236077896536,0.23608511266668608,7.216130686077404e-06,announcement,https://packomania.com/hsp4/txt/hsp4-118.txt,records/four-dimensional-balls/pack_hsp4_n118/construction.json
pack_hsp4_n119,four-dimensional-balls,max,0.236068068183,0.23606892588670902,8.5770370902849e-07,announcement,https://packomania.com/hsp4/txt/hsp4-119.txt,records/four-dimensional-balls/pack_hsp4_n119/construction.json
pack_hsp4_n135,four-dimensional-balls,max,0.226922653844,0.22692637600566534,3.7221616653315692e-06,announcement,https://packomania.com/hsp4/txt/hsp4-135.txt,records/four-dimensional-balls/pack_hsp4_n135/construction.json
pack_hsp4_n139,four-dimensional-balls,max,0.224938240752,0.2249389402326015,6.994806014959387e-07,announcement,https://packomania.com/hsp4/txt/hsp4-139.txt,records/four-dimensional-balls/pack_hsp4_n139/construction.json
pack_hsp4_n140,four-dimensional-balls,max,0.224518599354,0.22452921103255322,1.0611678553207327e-05,announcement,https://packomania.com/hsp4/txt/hsp4-140.txt,records/four-dimensional-balls/pack_hsp4_n140/construction.json
pack_hsp4_n157,four-dimensional-balls,max,0.219922039177,0.21992254718106286,5.0800406284357e-07,announcement,https://packomania.com/hsp4/txt/hsp4-157.txt,records/four-dimensional-balls/pack_hsp4_n157/construction.json
pack_hsp4_n158,four-dimensional-balls,max,0.219265888196,0.2192662748334302,3.866374302108344e-07,announcement,https://packomania.com/hsp4/txt/hsp4-158.txt,records/four-dimensional-balls/pack_hsp4_n158/construction.json
pack_hsp4_n164,four-dimensional-balls,max,0.216915247633,0.21691587080247868,6.231694786862363e-07,announcement,https://packomania.com/hsp4/txt/hsp4-164.txt,records/four-dimensional-balls/pack_hsp4_n164/construction.json
pack_hsp4_n177,four-dimensional-balls,max,0.213176991646,0.21317733220507074,3.405590707217243e-07,announcement,https://packomania.com/hsp4/txt/hsp4-177.txt,records/four-dimensional-balls/pack_hsp4_n177/construction.json
pack_hsp4_n181,four-dimensional-balls,max,0.212260374152,0.2122606951604946,3.210084945914904e-07,announcement,https://packomania.com/hsp4/txt/hsp4-181.txt,records/four-dimensional-balls/pack_hsp4_n181/construction.json
pack_hsp4_n194,four-dimensional-balls,max,0.208471720939,0.20847395630596155,2.235366961561569e-06,announcement,https://packomania.com/hsp4/txt/hsp4-194.txt,records/four-dimensional-balls/pack_hsp4_n194/construction.json
